,Name,Political Party,Twitter Handle
380,Mr Michael Waters,Democratic Alliance (DA),@MichaelWatersMP
381,Annerie Maria Magdalena Weber,Democratic Alliance (DA),@Kepaai
382,Wouter Wynand Wessels,"Freedom Front + (Vryheidsfront Plus, FF+)",@wouter_wessels
383,Mr Andrew Grant Whitfield,Democratic Alliance (DA),@andrewwhitfield
384,Ms Evelyn Rayne Wilson,Democratic Alliance (DA),
385,Hannah Shameema Winkler,Democratic Alliance (DA),
386,Mathews Wolmarans,African National Congress (ANC),
387,Vusumuzi Cyril Xaba,African National Congress (ANC),
388,Ms Phindisile Pretty Xaba-Ntshaba,African National Congress (ANC),
389,Fikile Devilliers Xasa,African National Congress (ANC),
390,Ms Sheilla Tembalam Xego,African National Congress (ANC),
391,Bafuze Sicelo Yabo,African National Congress (ANC),@Bafuze_Yabo
392,Yoliswa Nomampondomise Yako,Economic Freedom Fighters (EFF),@YolzYako
393,Beauty Thulani Zibula,African National Congress (ANC),
394,Ms Lindiwe Zulu,African National Congress (ANC),
395,Audrey Sbongile Zuma,African National Congress (ANC),
396,Vuyolwethu Zungula,African Transformation Movement (ATM),
397,Thandiwe Rose Marry Zungu,African National Congress (ANC),
398,Mosebenzi Joseph Zwane,African National Congress (ANC),
399,Thembinkosi Tevin Apleni,Economic Freedom Fighters (EFF),
400,Andrew Arnolds,Economic Freedom Fighters (EFF),
401,Willem Abraham Stephanus Aucamp,Democratic Alliance (DA),
402,Mbulelo Richmond Bara,Democratic Alliance (DA),
403,Lindiwe Christabola Bebee,African National Congress (ANC),
404,Ms Hildegard Sonja Boshoff,Democratic Alliance (DA),@BoshSonja
405,Mr Timothy James Brauteseth,Democratic Alliance (DA),@brauteseth_tim
406,Mr Yunus Ismail Carrim,African National Congress (ANC),
407,Delmaine Chesley Christians,Democratic Alliance (DA),
408,Armand Benjamin Cloete,"Freedom Front + (Vryheidsfront Plus, FF+)",@cloete_armand
409,Mohammed Dangor,African National Congress (ANC),
410,Thamsanqa Simon China Dodovu,African National Congress (ANC),
411,Stephanus Franszouis Du Toit,"Freedom Front + (Vryheidsfront Plus, FF+)",
412,Ms Maurencia Natalie Gillion,African National Congress (ANC),
413,Anele Benedict Gxoyiya,African National Congress (ANC),
414,Ms Cathlene Labuschagne,Democratic Alliance (DA),@cathlene_16
415,Eric Riaan Landsman,African National Congress (ANC),
416,Seneanye Betta Lehihi,Economic Freedom Fighters (EFF),
417,Mr Johan Jaco Londt,Democratic Alliance (DA),@jacolondt
418,Sylvia Elizabeth Lucas,African National Congress (ANC),
419,S'Lindile Ann Luthuli,Economic Freedom Fighters (EFF),
420,Ms Dikeledi Gladys Mahlangu,African National Congress (ANC),
421,Audrey Dimakatso Maleka,African National Congress (ANC),
422,Mmamora Lilliet Mamaregane,African National Congress (ANC),
423,Mr Nkosiyakhe Amos Masondo,African National Congress (ANC),
